date,time,count
W0115,16:11:22.813099,187
W0115,16:11:28.596107,188
W0115,16:12:24.950168,189
W0115,16:12:30.757750,190
W0115,16:13:29.751307,191
W0115,16:13:35.533746,192
W0115,16:14:32.032393,193
W0115,16:14:37.812359,194
W0115,16:15:36.729473,195
W0115,16:15:42.544320,196
W0115,16:16:38.956974,197
W0115,16:16:44.768545,198
W0115,16:17:43.600059,199
W0115,16:17:49.411569,200
W0115,16:18:45.793330,201
W0115,16:18:51.634140,202
W0115,16:19:50.830549,203
W0115,16:19:56.635720,204
W0115,16:20:52.807957,205
W0115,16:20:58.586472,206
W0115,16:21:57.452282,207
W0115,16:22:03.257936,208
W0115,16:22:59.793555,209
W0115,16:23:05.608508,210
W0115,16:24:04.803750,211
W0115,16:24:10.611268,212
W0115,16:25:06.976614,213
W0115,16:25:12.783064,214
W0115,16:26:11.613584,215
W0115,16:26:17.423797,216
W0115,16:27:13.794414,217
W0115,16:27:19.635602,218
W0115,16:28:18.560945,219
W0115,16:28:24.369711,220
W0115,16:29:20.817497,221
W0115,16:29:26.686316,222
W0115,16:30:26.481688,223
W0115,16:30:32.353039,224
W0115,16:31:28.806464,225
W0115,16:31:34.680299,226
W0115,16:32:33.721613,227
W0115,16:32:39.566244,228
W0115,16:33:36.001266,229
W0115,16:33:41.841919,230
W0115,16:34:41.299928,231
W0115,16:34:47.145292,232
W0115,16:35:43.456310,233
W0115,16:35:49.300042,234
W0115,16:36:48.253336,235
W0115,16:36:54.119410,236
W0115,16:37:50.567533,237
W0115,16:37:56.412736,238
W0115,16:38:55.867056,239
W0115,16:39:01.740001,240
W0115,16:39:58.764072,241
W0115,16:40:04.634137,242
W0115,16:41:03.557475,243
W0115,16:41:09.429512,244
W0115,16:42:05.752597,245
W0115,16:42:11.591596,246
W0115,16:43:10.714032,247
W0115,16:43:16.583678,248
W0115,16:44:13.158207,249
W0115,16:44:19.030038,250
W0115,16:45:18.310217,251
W0115,16:45:24.242095,252
W0115,16:46:20.385210,253
W0115,16:46:26.258577,254
W0115,16:47:25.345564,255
W0115,16:47:31.190862,256
W0115,16:48:27.813124,257
